#,Field,Description
1,activity,Name of the Activity
2,subject_id,Subject ID
3,timeBodyAccelerometer-mean()-X,Average Body Accelerometer time X
4,timeBodyAccelerometer-mean()-Y,Average Body Accelerometer time Y
5,timeBodyAccelerometer-mean()-Z,Average Body Accelerometer time Z
6,timeBodyAccelerometer-std()-X,SD Body Accelerometer time X
7,timeBodyAccelerometer-std()-Y,SD Body Accelerometer time Y
8,timeBodyAccelerometer-std()-Z,SD Body Accelerometer time Z
9,timeGravityAccelerometer-mean()-X,Average Gravity Accelerometer time X
10,timeGravityAccelerometer-mean()-Y,Average Gravity Accelerometer time Y
11,timeGravityAccelerometer-mean()-Z,Average Gravity Accelerometer time Z
12,timeGravityAccelerometer-std()-X,SD Gravity Accelerometer time X
13,timeGravityAccelerometer-std()-Y,SD Gravity Accelerometer time Y
14,timeGravityAccelerometer-std()-Z,SD Gravity Accelerometer time Z
15,timeBodyAccelerometerJerk-mean()-X,Average Body Accelerometer Jerk time X
16,timeBodyAccelerometerJerk-mean()-Y,Average Body Accelerometer Jerk time Y
17,timeBodyAccelerometerJerk-mean()-Z,Average Body Accelerometer Jerk time Z
18,timeBodyAccelerometerJerk-std()-X,SD Body Accelerometer Jerk time X
19,timeBodyAccelerometerJerk-std()-Y,SD Body Accelerometer Jerk time Y
20,timeBodyAccelerometerJerk-std()-Z,SD Body Accelerometer Jerk time Z
21,timeBodyGyroscope-mean()-X,Average Body Gyroscope time X
22,timeBodyGyroscope-mean()-Y,Average Body Gyroscope time Y
23,timeBodyGyroscope-mean()-Z,Average Body Gyroscope time Z
24,timeBodyGyroscope-std()-X,SD Body Gyroscope time X
25,timeBodyGyroscope-std()-Y,SD Body Gyroscope time Y
26,timeBodyGyroscope-std()-Z,SD Body Gyroscope time Z
27,timeBodyGyroscopeJerk-mean()-X,Average Body Gyroscope Jerk time X
28,timeBodyGyroscopeJerk-mean()-Y,Average Body Gyroscope Jerk time Y
29,timeBodyGyroscopeJerk-mean()-Z,Average Body Gyroscope Jerk time Z
30,timeBodyGyroscopeJerk-std()-X,SD Body Gyroscope Jerk time X
31,timeBodyGyroscopeJerk-std()-Y,SD Body Gyroscope Jerk time Y
32,timeBodyGyroscopeJerk-std()-Z,SD Body Gyroscope Jerk time Z
33,timeBodyAccelerometerMagnitude-mean(),Average Body Accelerometer Magnitude time
34,timeBodyAccelerometerMagnitude-std(),SD Body Accelerometer Magnitude time
35,timeGravityAccelerometerMagnitude-mean(),Average Gravity Accelerometer Magnitude time
36,timeGravityAccelerometerMagnitude-std(),SD Gravity Accelerometer Magnitude time
37,timeBodyAccelerometerJerkMagnitude-mean(),Average Body Accelerometer Jerk Magnitude time
38,timeBodyAccelerometerJerkMagnitude-std(),SD Body Accelerometer Jerk Magnitude time
39,timeBodyGyroscopeMagnitude-mean(),Average Body Gyroscope Magnitude time
40,timeBodyGyroscopeMagnitude-std(),SD Body Gyroscope Magnitude time
41,timeBodyGyroscopeJerkMagnitude-mean(),Average Body Gyroscope Jerk Magnitude time
42,timeBodyGyroscopeJerkMagnitude-std(),SD Body Gyroscope Jerk Magnitude time
43,frequencyBodyAccelerometer-mean()-X,Average Body Accelerometer frequency X
44,frequencyBodyAccelerometer-mean()-Y,Average Body Accelerometer frequency Y
45,frequencyBodyAccelerometer-mean()-Z,Average Body Accelerometer frequency Z
46,frequencyBodyAccelerometer-std()-X,SD Average Body Accelerometer frequency X
47,frequencyBodyAccelerometer-std()-Y,SD Average Body Accelerometer frequency Y
48,frequencyBodyAccelerometer-std()-Z,SD Average Body Accelerometer frequency Z
49,frequencyBodyAccelerometerJerk-mean()-X,Average Body Accelerometer Jerk frequency X
50,frequencyBodyAccelerometerJerk-mean()-Y,Average Body Accelerometer Jerk frequency Y
51,frequencyBodyAccelerometerJerk-mean()-Z,Average Body Accelerometer Jerk frequency Z
52,frequencyBodyAccelerometerJerk-std()-X,SD Body Accelerometer Jerk frequency X
53,frequencyBodyAccelerometerJerk-std()-Y,SD Body Accelerometer Jerk frequency Y
54,frequencyBodyAccelerometerJerk-std()-Z,SD Body Accelerometer Jerk frequency Z
55,frequencyBodyGyroscope-mean()-X,Average Body Gyroscope frequency X
56,frequencyBodyGyroscope-mean()-Y,Average Body Gyroscope frequency Y
57,frequencyBodyGyroscope-mean()-Z,Average Body Gyroscope frequency Z
58,frequencyBodyGyroscope-std()-X,SD Body Gyroscope frequency X
59,frequencyBodyGyroscope-std()-Y,SD Body Gyroscope frequency Y
60,frequencyBodyGyroscope-std()-Z,SD Body Gyroscope frequency Z
61,frequencyBodyAccelerometerMagnitude-mean(),Average Body Accelerometer Magnitude frequency
62,frequencyBodyAccelerometerMagnitude-std(),SD Body Accelerometer Magnitude frequency
63,frequencyBodyAccelerometerJerkMagnitude-mean(),Average Body Accelerometer Jerk Magnitude frequency
64,frequencyBodyAccelerometerJerkMagnitude-std(),SD Body Accelerometer Jerk Magnitude frequency
65,frequencyBodyGyroscopeMagnitude-mean(),Average Body Gyroscope Magnitude frequency
66,frequencyBodyGyroscopeMagnitude-std(),SD Body Gyroscope Magnitude frequency
67,frequencyBodyGyroscopeJerkMagnitude-mean(),Average Body Gyroscope Jerk Magnitude frequency
68,frequencyBodyGyroscopeJerkMagnitude-std(),SD Body Gyroscope Jerk Magnitude frequency
